signal_date,entry_weekday,status,reason,distance,width,take_profit,stop_loss,minimum_credit,expiry,entry_date,exit_date,lot,raw_credit_points,effective_credit_points,gross_pnl,costs,net_pnl,dte_at_signal,dte_at_entry,nifty_reference_signal,nifty_reference_entry,put_long,put_short,call_short,call_long,put_long_entry,put_short_entry,call_short_entry,call_long_entry,put_long_exit,put_short_exit,call_short_exit,call_long_exit,wing_width_points,max_loss_points,max_loss,lower_breakeven,upper_breakeven,return_on_capital,return_on_max_loss,eod_exit_reason,conservative_intraday_min_pnl_points,conservative_intraday_min_pnl,conservative_intraday_min_pnl_day,conservative_bound_is_not_fill,window,selection_train_start,selection_train_end,selected_score,oos_fixed_lot_equity,oos_fixed_lot_drawdown
2021-01-01,4,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-01-07,2021-01-04,2021-01-05,75,42.8,40.8,6765.0,102.7006736,6662.2993264,6,3,14053.85,14165.3,13550.0,13850.0,14250.0,14550.0,6.0,18.65,32.05,1.9,5.55,14.55,43.65,1.25,300.0,257.2,19290.0,13807.2,14292.8,0.066622993264,0.34537580748574387,take_profit_eod_mark,52.849999999999994,3963.7499999999995,2021-01-05,True,2021,2015-01-01,2020-12-31,0.29131667017870505,106662.2993264,0.0
2021-01-07,3,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-01-14,2021-01-08,2021-01-11,75,90.75,88.75,16218.75,114.22803912500001,16104.521960875,7,6,14191.1,14370.9,13700.0,14000.0,14400.0,14700.0,12.95,30.95,79.4,6.65,8.5,17.05,135.1,14.15,300.0,209.25,15693.75,13909.25,14490.75,0.16104521960874998,1.0261742388450816,take_profit_eod_mark,158.45,11883.75,2021-01-11,True,2021,2015-01-01,2020-12-31,0.29131667017870505,122766.821287275,0.0
2021-01-14,3,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-01-21,2021-01-15,2021-01-18,75,89.55,87.55,16083.75,122.903338925,15960.846661075,7,6,14628.1,14458.5,14100.0,14400.0,14850.0,15150.0,45.25,122.15,17.2,4.55,52.1,178.6,6.05,3.65,300.0,210.45,15783.75,14310.45,14939.55,0.15960846661075,1.0112201891866635,take_profit_eod_mark,113.0,8475.0,2021-01-18,True,2021,2015-01-01,2020-12-31,0.29131667017870505,138727.66794835002,0.0
2021-01-21,3,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-01-28,2021-01-22,2021-01-25,75,110.45000000000002,108.45000000000002,18341.250000000004,125.70530427499999,18215.544695725002,7,6,14598.65,14380.15,14100.0,14400.0,14800.0,15100.0,52.6,149.9,18.25,5.1,46.9,183.4,4.55,2.95,300.0,189.54999999999998,14216.249999999998,14289.55,14910.45,0.18215544695725003,1.2813185401019962,take_profit_eod_mark,109.50000000000001,8212.500000000002,2021-01-25,True,2021,2015-01-01,2020-12-31,0.29131667017870505,156943.212644075,0.0
2021-01-28,3,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-02-04,2021-01-29,2021-02-01,75,157.14999999999995,155.14999999999995,26936.249999999993,154.781738825,26781.468261174992,7,6,13813.5,13709.1,13300.0,13600.0,14000.0,14300.0,82.5,181.7,96.35,38.4,6.6,11.65,337.85,136.9,300.0,142.85000000000005,10713.750000000004,13442.85,14157.15,0.2678146826117499,2.4997286908108722,take_profit_eod_mark,-16.000000000000057,-1200.0000000000043,2021-02-01,True,2021,2015-01-01,2020-12-31,0.29131667017870505,183724.68090525002,0.0
2021-02-02,1,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-02-04,2021-02-03,2021-02-04,75,31.6,29.6,2396.25,98.76065772499999,2297.489342275,2,1,14696.0,14820.55,14200.0,14500.0,14900.0,15200.0,4.1,13.3,24.3,1.9,0.1,0.2,4.35,0.1,300.0,268.4,20130.0,14468.4,14931.6,0.02297489342275,0.11413260518007949,take_profit_eod_mark,24.55,1841.25,2021-02-04,True,2021,2015-01-01,2020-12-31,0.29131667017870505,186022.170247525,0.0
2021-02-05,4,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-02-11,2021-02-08,2021-02-09,75,99.65,97.65,13803.75,113.419532675,13690.330467325,6,3,14930.65,15126.5,14400.0,14700.0,15150.0,15450.0,9.6,23.95,101.6,16.3,6.3,21.5,80.5,7.3,300.0,200.35,15026.25,14600.35,15249.65,0.13690330467325001,0.9110942828267199,take_profit_eod_mark,135.8,10185.0,2021-02-09,True,2021,2015-01-01,2020-12-31,0.29131667017870505,199712.50071485,0.0
2021-02-11,3,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-02-18,2021-02-12,2021-02-15,75,66.10000000000001,64.10000000000001,9656.25,108.314209325,9547.935790675,7,6,15184.95,15161.45,14650.0,14950.0,15400.0,15700.0,17.65,54.95,33.6,4.8,6.6,16.5,61.3,4.55,300.0,233.89999999999998,17542.5,14883.9,15466.1,0.09547935790675,0.5442745213438791,take_profit_eod_mark,96.5,7237.5,2021-02-15,True,2021,2015-01-01,2020-12-31,0.29131667017870505,209260.436505525,0.0
2021-02-16,1,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-02-18,2021-02-17,2021-02-18,75,22.5,20.5,1447.5,97.44724490000002,1350.0527551,2,1,15330.25,15207.05,14800.0,15100.0,15550.0,15850.0,2.55,23.85,3.0,1.8,0.1,0.9,0.1,0.1,300.0,277.5,20812.5,15077.5,15572.5,0.013500527551,0.06486739964444445,take_profit_eod_mark,16.55,1241.25,2021-02-18,True,2021,2015-01-01,2020-12-31,0.29131667017870505,210610.48926062498,0.0
2021-02-19,4,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-02-25,2021-02-22,2021-02-23,75,108.05,106.05,14834.999999999998,120.3425273,14714.657472699999,6,3,14987.0,14672.65,14450.0,14750.0,15200.0,15500.0,51.05,154.8,9.45,5.15,22.35,114.25,4.8,2.95,300.0,191.95,14396.25,14641.95,15308.05,0.147146574727,1.0221173897855342,take_profit_eod_mark,106.75,8006.25,2021-02-23,True,2021,2015-01-01,2020-12-31,0.29131667017870505,225325.14673332497,0.0
