window,signal_date,entry_date,exit_date,expiry,net_pnl,max_loss,conservative_intraday_min_pnl,conservative_intraday_min_pnl_day,conservative_bound_is_not_fill
2021,2021-01-01,2021-01-04,2021-01-05,2021-01-07,6662.2993264,19290.0,3963.7499999999995,2021-01-05,True
2021,2021-01-07,2021-01-08,2021-01-11,2021-01-14,16104.521960875,15693.75,11883.75,2021-01-11,True
2021,2021-01-14,2021-01-15,2021-01-18,2021-01-21,15960.846661075,15783.75,8475.0,2021-01-18,True
2021,2021-01-21,2021-01-22,2021-01-25,2021-01-28,18215.544695725002,14216.249999999998,8212.500000000002,2021-01-25,True
2021,2021-01-28,2021-01-29,2021-02-01,2021-02-04,26781.468261174992,10713.750000000004,-1200.0000000000043,2021-02-01,True
2021,2021-02-02,2021-02-03,2021-02-04,2021-02-04,2297.489342275,20130.0,1841.25,2021-02-04,True
2021,2021-02-05,2021-02-08,2021-02-09,2021-02-11,13690.330467325,15026.25,10185.0,2021-02-09,True
2021,2021-02-11,2021-02-12,2021-02-15,2021-02-18,9547.935790675,17542.5,7237.5,2021-02-15,True
2021,2021-02-16,2021-02-17,2021-02-18,2021-02-18,1350.0527551,20812.5,1241.25,2021-02-18,True
2021,2021-02-19,2021-02-22,2021-02-23,2021-02-25,14714.657472699999,14396.25,8006.25,2021-02-23,True
2021,2021-02-25,2021-02-26,2021-03-01,2021-03-04,26073.003329425,6978.749999999999,15131.25,2021-03-01,True
2021,2021-03-02,2021-03-03,2021-03-04,2021-03-04,8965.829588499999,13290.000000000002,8272.499999999998,2021-03-04,True
2021,2021-03-05,2021-03-08,2021-03-09,2021-03-10,10016.0805856,15926.249999999998,6607.500000000002,2021-03-09,True
2021,2021-03-12,2021-03-15,2021-03-16,2021-03-18,12415.428498325,15333.75,8876.25,2021-03-16,True
2021,2021-03-18,2021-03-19,2021-03-22,2021-03-25,17972.7238417,12217.5,12026.25,2021-03-22,True
2021,2021-03-23,2021-03-24,2021-03-25,2021-03-25,25384.84298545,15738.75,7162.5,2021-03-25,True
2021,2021-03-26,2021-03-31,2021-04-01,2021-04-01,7289.861353675,19492.5,3326.25,2021-04-01,True
2021,2021-04-05,2021-04-06,2021-04-07,2021-04-08,6245.344289725,18487.5,4038.7500000000014,2021-04-07,True
2021,2021-04-08,2021-04-09,2021-04-12,2021-04-15,21689.485579975,17137.5,-93.75000000000107,2021-04-12,True
2021,2021-04-15,2021-04-16,2021-04-19,2021-04-22,13841.087557375,15446.25,6843.75,2021-04-19,True
2021,2021-04-22,2021-04-23,2021-04-26,2021-04-29,15336.226132300002,14231.25,11325.0,2021-04-26,True
2021,2021-04-27,2021-04-28,2021-04-29,2021-04-29,9131.169856225,16826.25,7027.5,2021-04-29,True
2021,2021-04-30,2021-05-03,2021-05-04,2021-05-06,12913.03671715,15922.5,6990.0,2021-05-04,True
2021,2021-05-06,2021-05-07,2021-05-10,2021-05-12,10376.67701095,16785.0,8917.500000000002,2021-05-10,True
2021,2021-05-14,2021-05-17,2021-05-18,2021-05-20,22506.153485050003,14415.0,16271.25,2021-05-18,True
2021,2021-05-20,2021-05-21,2021-05-24,2021-05-27,17569.415101975,13027.5,14692.5,2021-05-24,True
2021,2021-05-28,2021-05-31,2021-06-01,2021-06-03,4507.450215925,19646.25,3862.5000000000005,2021-06-01,True
2021,2021-06-03,2021-06-04,2021-06-07,2021-06-10,5023.922697175,19226.25,4038.75,2021-06-07,True
2021,2021-06-08,2021-06-09,2021-06-10,2021-06-10,754.6474543750002,21360.0,641.25,2021-06-10,True
2021,2021-06-11,2021-06-14,2021-06-15,2021-06-17,1847.554495375,21097.5,1586.25,2021-06-15,True
2021,2021-06-17,2021-06-18,2021-06-21,2021-06-24,5941.23215335,18858.75,2617.5000000000005,2021-06-21,True
2021,2021-06-22,2021-06-23,2021-06-24,2021-06-24,541.23791095,21570.0,461.25,2021-06-24,True
2021,2021-06-25,2021-06-28,2021-06-29,2021-07-01,3582.6868952500004,20208.75,2977.5,2021-06-29,True
2021,2021-07-01,2021-07-02,2021-07-05,2021-07-08,2432.906378125,21060.0,1908.7500000000002,2021-07-05,True
2021,2021-07-08,2021-07-09,2021-07-12,2021-07-15,3098.6730597250003,20261.25,2302.5,2021-07-12,True
2021,2021-07-15,2021-07-16,2021-07-19,2021-07-22,4047.7840126,21075.0,840.0,2021-07-19,True
2021,2021-07-22,2021-07-23,2021-07-26,2021-07-29,2342.2769296750002,20793.75,1953.7500000000002,2021-07-26,True
2021,2021-07-29,2021-07-30,2021-08-02,2021-08-05,2039.6604669499995,13707.499999999998,1630.0,2021-08-02,True
2021,2021-08-05,2021-08-06,2021-08-09,2021-08-12,1657.0726203999998,13710.0,1389.9999999999998,2021-08-09,True
2021,2021-08-12,2021-08-13,2021-08-16,2021-08-18,4259.7679426,12627.5,3067.5000000000005,2021-08-16,True
2021,2021-08-20,2021-08-23,2021-08-24,2021-08-26,3249.25728365,13582.499999999998,1950.0,2021-08-24,True
2021,2021-08-26,2021-08-27,2021-08-30,2021-09-02,7430.39811785,12837.5,3322.5,2021-08-30,True
2021,2021-09-02,2021-09-03,2021-09-06,2021-09-09,4211.90712945,12775.0,3729.9999999999995,2021-09-06,True
2021,2021-09-09,2021-09-13,2021-09-14,2021-09-16,823.3825843000001,14180.000000000002,770.0000000000001,2021-09-14,True
2021,2021-09-16,2021-09-17,2021-09-20,2021-09-23,5211.5317461,13052.5,1007.4999999999999,2021-09-20,True
2021,2021-09-23,2021-09-24,2021-09-27,2021-09-30,4385.56465475,12180.0,3322.5,2021-09-27,True
2021,2021-09-30,2021-10-01,2021-10-04,2021-10-07,6100.7772323,11025.0,4754.999999999999,2021-10-04,True
2021,2021-10-05,2021-10-06,2021-10-07,2021-10-07,1687.1820189000002,13017.500000000002,1585.0000000000002,2021-10-07,True
2021,2021-10-08,2021-10-11,2021-10-12,2021-10-14,2798.66295455,13190.0,2107.5000000000005,2021-10-12,True
2021,2021-10-14,2021-10-18,2021-10-19,2021-10-21,4680.82262845,12092.5,3067.5000000000005,2021-10-19,True
2021,2021-10-21,2021-10-22,2021-10-25,2021-10-28,6265.0530495,11355.0,3462.5,2021-10-25,True
2021,2021-10-26,2021-10-27,2021-10-28,2021-10-28,8632.899839349999,14169.999999999998,1032.5000000000002,2021-10-28,True
2021,2021-10-29,2021-11-01,2021-11-02,2021-11-03,6755.536555499999,9980.0,5755.0,2021-11-02,True
2021,2021-11-04,2021-11-08,2021-11-09,2021-11-11,5682.7174058,11247.5,4682.5,2021-11-09,True
2021,2021-11-11,2021-11-12,2021-11-15,2021-11-18,8669.2736314,10350.0,4212.499999999999,2021-11-15,True
2021,2021-11-16,2021-11-17,2021-11-18,2021-11-18,406.79084565000005,14360.0,252.50000000000003,2021-11-18,True
2021,2021-11-22,2021-11-23,2021-11-24,2021-11-25,1644.82213605,13597.5,1065.0,2021-11-24,True
2021,2021-11-25,2021-11-26,2021-11-29,2021-12-02,15958.103284350002,6707.499999999999,3652.5000000000036,2021-11-29,True
2021,2021-11-30,2021-12-01,2021-12-02,2021-12-02,8284.520578,13205.000000000002,2352.5,2021-12-02,True
2021,2021-12-03,2021-12-06,2021-12-07,2021-12-09,7305.469677599999,9177.5,5274.999999999999,2021-12-07,True
2021,2021-12-09,2021-12-10,2021-12-13,2021-12-16,5721.1965669,12155.000000000002,2632.4999999999995,2021-12-13,True
2021,2021-12-14,2021-12-15,2021-12-16,2021-12-16,1200.50151685,13505.000000000002,1127.4999999999998,2021-12-16,True
2021,2021-12-17,2021-12-20,2021-12-21,2021-12-23,11241.8392661,7815.000000000001,6744.999999999999,2021-12-21,True
2021,2021-12-23,2021-12-24,2021-12-27,2021-12-30,6137.14353225,11487.5,2962.5,2021-12-27,True
2022,2022-01-03,2022-01-04,2022-01-05,2022-01-06,5127.796623650001,13052.5,2417.4999999999995,2022-01-05,True
2022,2022-01-06,2022-01-07,2022-01-10,2022-01-13,7764.5834917,11280.0,5497.5,2022-01-10,True
2022,2022-01-11,2022-01-12,2022-01-13,2022-01-13,391.8700058500001,14315.0,382.5000000000001,2022-01-13,True
2022,2022-01-14,2022-01-17,2022-01-18,2022-01-20,4734.755903899999,13062.5,1910.0000000000002,2022-01-18,True
2022,2022-01-20,2022-01-21,2022-01-24,2022-01-27,15322.736674449998,10419.999999999998,-6914.999999999998,2022-01-24,True
2022,2022-01-27,2022-01-28,2022-01-31,2022-02-03,15542.475440850003,7297.499999999999,10580.0,2022-01-31,True
2022,2022-02-01,2022-02-02,2022-02-03,2022-02-03,1627.531686,13077.5,1590.0000000000002,2022-02-03,True
2022,2022-02-04,2022-02-07,2022-02-08,2022-02-10,10438.81242355,8852.5,5484.999999999999,2022-02-08,True
2022,2022-02-10,2022-02-11,2022-02-14,2022-02-17,16774.00617725,10067.500000000002,-930.0000000000018,2022-02-14,True
2022,2022-02-15,2022-02-16,2022-02-17,2022-02-17,760.5618062499999,13950.0,482.49999999999994,2022-02-17,True
2022,2022-02-18,2022-02-21,2022-02-22,2022-02-24,8611.15628855,10507.5,2954.9999999999995,2022-02-22,True
2022,2022-02-24,2022-02-25,2022-02-28,2022-03-03,21696.244687850005,4689.999999999996,5450.000000000005,2022-02-28,True
2022,2022-03-03,2022-03-04,2022-03-07,2022-03-10,16742.45869485,7684.999999999999,7742.500000000001,2022-03-07,True
2022,2022-03-08,2022-03-09,2022-03-10,2022-03-10,21917.34923515,7587.5,7380.0,2022-03-10,True
2022,2022-03-11,2022-03-14,2022-03-15,2022-03-17,13159.862822049998,7050.0,5762.499999999999,2022-03-15,True
2022,2022-03-17,2022-03-21,2022-03-22,2022-03-24,10531.86768725,8510.0,4649.999999999999,2022-03-22,True
2022,2022-03-24,2022-03-25,2022-03-28,2022-03-31,8521.771381049999,9630.000000000002,5145.0,2022-03-28,True
2022,2022-03-29,2022-03-30,2022-03-31,2022-03-31,1372.8272593,13332.499999999998,1332.5,2022-03-31,True
2022,2022-04-01,2022-04-04,2022-04-05,2022-04-07,11489.70603125,7797.499999999999,8635.0,2022-04-05,True
2022,2022-04-07,2022-04-08,2022-04-11,2022-04-13,5074.7825696499995,11455.000000000002,3917.4999999999995,2022-04-11,True
2022,2022-04-18,2022-04-19,2022-04-20,2022-04-21,5105.4880555,10755.0,4030.0000000000005,2022-04-20,True
2022,2022-04-21,2022-04-22,2022-04-25,2022-04-28,12086.330243500002,10287.5,6330.000000000001,2022-04-25,True
2022,2022-04-26,2022-04-27,2022-04-28,2022-04-28,1499.8659764500005,13207.499999999998,1415.0000000000005,2022-04-28,True
2022,2022-04-29,2022-05-02,2022-05-04,2022-05-05,12181.640779450001,11372.5,1079.9999999999998,2022-05-04,True
2022,2022-05-05,2022-05-06,2022-05-09,2022-05-12,12776.482574,9037.5,5982.5,2022-05-09,True
2022,2022-05-10,2022-05-11,2022-05-12,2022-05-12,11375.84582555,13467.500000000002,2679.9999999999995,2022-05-12,True
2022,2022-05-13,2022-05-16,2022-05-17,2022-05-19,15371.623035199998,9842.5,3604.9999999999995,2022-05-17,True
2022,2022-05-19,2022-05-20,2022-05-23,2022-05-26,19209.602327250002,4675.000000000002,12164.999999999998,2022-05-23,True
2022,2022-05-24,2022-05-25,2022-05-26,2022-05-26,2186.333331,12520.0,2047.5000000000002,2022-05-26,True
2022,2022-05-27,2022-05-30,2022-05-31,2022-06-02,12999.9116484,7485.000000000001,10322.5,2022-05-31,True
2022,2022-06-02,2022-06-03,2022-06-06,2022-06-09,8641.496006,9922.5,6475.0,2022-06-06,True
2022,2022-06-07,2022-06-08,2022-06-09,2022-06-09,768.8129234000003,13937.5,707.5000000000002,2022-06-09,True
2022,2022-06-10,2022-06-13,2022-06-14,2022-06-16,17949.79202905,6337.500000000002,11039.999999999998,2022-06-14,True
2022,2022-06-16,2022-06-17,2022-06-20,2022-06-23,10973.7533906,8462.5,6534.999999999999,2022-06-20,True
2022,2022-06-21,2022-06-22,2022-06-23,2022-06-23,2917.3817381499994,11790.0,2732.4999999999995,2022-06-23,True
2022,2022-06-24,2022-06-27,2022-06-28,2022-06-30,7102.9912101499995,10772.5,5350.0,2022-06-28,True
2022,2022-06-30,2022-07-01,2022-07-04,2022-07-07,8274.79376205,10044.999999999998,5692.5,2022-07-04,True
2022,2022-07-05,2022-07-06,2022-07-07,2022-07-07,9654.963575750002,11607.499999999998,5605.0,2022-07-07,True
2022,2022-07-08,2022-07-11,2022-07-12,2022-07-14,5960.433071450001,12152.5,4025.0,2022-07-12,True
2022,2022-07-14,2022-07-15,2022-07-18,2022-07-21,11616.508282599998,10727.5,7809.999999999999,2022-07-18,True
2022,2022-07-19,2022-07-20,2022-07-21,2022-07-21,1003.682046,13857.499999999998,862.4999999999998,2022-07-21,True
2022,2022-07-22,2022-07-25,2022-07-26,2022-07-28,6402.6090899,12217.5,4340.000000000001,2022-07-26,True
2022,2022-07-28,2022-07-29,2022-08-01,2022-08-04,14534.2792138,9150.0,8830.0,2022-08-01,True
2022,2022-08-04,2022-08-05,2022-08-08,2022-08-11,6605.729970599999,11265.0,4012.5,2022-08-08,True
2022,2022-08-11,2022-08-12,2022-08-16,2022-08-18,3467.8089011500006,12817.500000000002,2915.0,2022-08-16,True
2022,2022-08-18,2022-08-19,2022-08-22,2022-08-25,13999.621388449998,10360.0,6902.499999999999,2022-08-22,True
2022,2022-08-25,2022-08-26,2022-08-29,2022-09-01,7900.661528049999,11175.0,4159.999999999999,2022-08-29,True
2022,2022-09-01,2022-09-02,2022-09-05,2022-09-08,7857.996704299999,10487.5,5649.999999999998,2022-09-05,True
2022,2022-09-06,2022-09-07,2022-09-08,2022-09-08,831.14333595,13877.5,780.0000000000001,2022-09-08,True
2022,2022-09-09,2022-09-12,2022-09-13,2022-09-15,7134.86756885,11767.5,5762.5,2022-09-13,True
2022,2022-09-15,2022-09-16,2022-09-19,2022-09-22,12222.087813650001,8022.499999999999,7282.500000000002,2022-09-19,True
2022,2022-09-20,2022-09-21,2022-09-22,2022-09-22,3231.5015978500005,11525.0,2350.0,2022-09-22,True
2022,2022-09-23,2022-09-26,2022-09-27,2022-09-29,12450.817308850003,8507.499999999998,7032.5,2022-09-27,True
2022,2022-09-29,2022-09-30,2022-10-03,2022-10-06,11031.5681316,7792.5,7857.5,2022-10-03,True
2022,2022-10-06,2022-10-07,2022-10-10,2022-10-13,7564.1057183,10772.5,4772.5,2022-10-10,True
2022,2022-10-11,2022-10-12,2022-10-13,2022-10-13,2294.1224630499996,12407.5,2279.9999999999995,2022-10-13,True
2022,2022-10-14,2022-10-17,2022-10-18,2022-10-20,8648.42084655,11419.999999999998,6642.500000000001,2022-10-18,True
2022,2022-10-20,2022-10-21,2022-10-24,2022-10-27,4934.255226099999,12647.5,4187.5,2022-10-24,True
2022,2022-10-27,2022-10-28,2022-10-31,2022-11-03,9886.416315349998,10975.0,6694.999999999999,2022-10-31,True
2022,2022-11-01,2022-11-02,2022-11-03,2022-11-03,1267.9690855,13444.999999999998,1162.4999999999998,2022-11-03,True
2022,2022-11-04,2022-11-07,2022-11-09,2022-11-10,1133.3504227999997,13919.999999999998,982.4999999999999,2022-11-09,True
2022,2022-11-10,2022-11-11,2022-11-14,2022-11-17,9115.91056655,9555.000000000002,8125.0,2022-11-14,True
2022,2022-11-17,2022-11-18,2022-11-21,2022-11-24,3545.9239205999997,13362.5,2592.4999999999995,2022-11-21,True
2022,2022-11-24,2022-11-25,2022-11-28,2022-12-01,3083.5854755500004,13255.000000000002,1964.9999999999998,2022-11-28,True
2022,2022-12-01,2022-12-02,2022-12-05,2022-12-08,7185.590005500001,11017.5,5810.000000000001,2022-12-05,True
2022,2022-12-06,2022-12-07,2022-12-08,2022-12-08,973.5351415,13744.999999999998,957.5000000000001,2022-12-08,True
2022,2022-12-09,2022-12-12,2022-12-13,2022-12-15,1894.88405825,13737.5,1602.4999999999998,2022-12-13,True
2022,2022-12-15,2022-12-16,2022-12-19,2022-12-22,3826.1209486499993,11975.0,3282.4999999999995,2022-12-19,True
2022,2022-12-20,2022-12-21,2022-12-22,2022-12-22,2367.139704,13405.000000000002,1364.9999999999998,2022-12-22,True
2022,2022-12-23,2022-12-26,2022-12-27,2022-12-29,7771.4055493,11412.5,4642.5,2022-12-27,True
2023,2023-01-03,2023-01-04,2023-01-05,2023-01-05,5430.0308389,12280.0,3300.0,2023-01-05,True
2023,2023-01-06,2023-01-09,2023-01-10,2023-01-12,2876.042742400001,12852.5,2290.0000000000005,2023-01-10,True
2023,2023-01-12,2023-01-13,2023-01-16,2023-01-19,3859.8744248,12420.0,3272.5,2023-01-16,True
2023,2023-01-19,2023-01-20,2023-01-23,2023-01-25,1632.3557193999998,13487.5,1499.9999999999998,2023-01-23,True
2023,2023-01-27,2023-01-30,2023-01-31,2023-02-02,8425.6601175,10437.5,5300.0,2023-01-31,True
2023,2023-02-02,2023-02-03,2023-02-06,2023-02-09,5936.607983600001,10972.5,4957.5,2023-02-06,True
2023,2023-02-09,2023-02-10,2023-02-13,2023-02-16,3850.5562822,13194.999999999998,2432.5,2023-02-13,True
2023,2023-02-16,2023-02-17,2023-02-20,2023-02-23,4332.11470735,13019.999999999998,2374.9999999999995,2023-02-20,True
2023,2023-02-21,2023-02-22,2023-02-23,2023-02-23,7353.184472399998,11497.5,3972.4999999999995,2023-02-23,True
2023,2023-02-24,2023-02-27,2023-02-28,2023-03-02,4390.2365799,13060.0,2652.5,2023-02-28,True
